MADK,MAGT,MATC,NGAYDANGKY,NGAYHETHAN,SOMUIDATIEM
1,1,34993,2023-04-17,,3
2,13,10104,2022-09-28,,2
3,8,4768,2023-11-25,,2
4,4,40401,2023-02-01,,0
5,12,4038,2023-06-10,,1
6,1,11654,2024-01-12,,2
7,13,14333,2024-09-19,,2
8,20,5317,2024-01-22,,2
9,5,1763,2023-12-29,,4
10,14,35108,2022-05-05,,1
11,8,6264,2023-10-31,,0
12,19,4913,2022-04-23,,5
13,10,3101,2023-04-21,,4
14,5,7994,2023-05-20,,4
15,14,13222,2023-09-29,,5
16,9,31192,2023-01-20,,1
17,19,25368,2024-06-26,,2
18,6,42554,2022-04-08,,0
19,19,9161,2024-07-01,,5
20,3,7506,2023-11-27,,3
21,14,22832,2023-08-07,,3
22,1,23643,2022-10-07,,4
23,18,22136,2022-08-29,,2
24,13,17528,2023-09-28,,3
25,16,36807,2024-03-23,,3
26,19,27473,2022-08-08,,4
27,15,44143,2024-01-13,,3
28,14,30513,2024-11-17,,1
29,9,29172,2023-09-02,,1
30,9,3792,2022-02-08,,5
31,4,42598,2024-10-02,,4
32,15,18594,2024-10-22,,4
33,5,28708,2022-07-25,,3
34,5,4008,2024-12-01,,3
35,17,27083,2022-12-01,,1
36,3,34137,2022-01-06,,3
37,2,25438,2023-07-02,,1
38,14,16178,2023-03-31,,2
39,2,18686,2023-09-13,,2
40,9,11872,2023-05-14,,0
41,8,44805,2023-04-08,,2
42,7,28339,2022-05-22,,2
43,18,37902,2022-05-23,,3
44,4,39201,2023-05-24,,2
45,13,6999,2024-04-27,,3
46,20,17493,2022-08-20,,5
47,16,19942,2022-11-28,,4
48,19,18731,2022-05-06,,1
49,2,4525,2024-06-11,,2
50,18,19720,2023-06-01,,3
51,4,41618,2024-02-01,,2
52,8,5633,2024-10-24,,2
53,1,27722,2023-11-25,,0
54,11,29175,2024-11-16,,0
55,17,43304,2022-08-24,,4
56,20,34747,2022-06-30,,0
57,10,23379,2022-10-09,,1
58,19,11735,2024-12-23,,1
59,17,44362,2024-08-12,,0
60,11,9377,2022-06-09,,2
61,9,8458,2022-09-23,,4
62,10,42106,2023-03-02,,5
63,1,2799,2022-10-11,,1
64,5,29054,2022-11-19,,0
65,16,8403,2022-03-25,,0
66,20,20714,2023-07-24,,3
67,17,37285,2023-07-27,,5
68,16,1617,2022-11-24,,4
69,16,14659,2024-02-23,,3
70,2,23268,2022-12-17,,5
71,18,15953,2023-08-13,,5
72,8,29484,2024-02-18,,2
73,4,38576,2022-06-11,,2
74,6,3178,2023-03-17,,3
75,11,690,2023-03-16,,4
76,3,38073,2022-01-28,,4
77,4,29878,2022-01-03,,2
78,12,4466,2023-12-16,,0
79,13,15460,2023-04-27,,0
80,4,14533,2022-10-31,,4
81,6,18724,2023-05-09,,3
82,10,8076,2022-04-13,,3
83,8,9760,2023-01-03,,4
84,17,29037,2023-04-19,,0
85,16,29529,2024-01-02,,0
86,3,44421,2024-05-01,,0
87,14,7030,2022-12-29,,3
88,3,37388,2022-06-08,,2
89,11,41989,2024-08-21,,1
90,19,10669,2023-02-06,,2
91,13,23204,2023-10-27,,3
92,1,11981,2022-07-10,,4
93,1,38203,2022-07-31,,0
94,14,17097,2022-05-28,,5
95,3,6554,2022-11-24,,0
96,13,2106,2024-12-01,,2
97,1,38173,2022-12-28,,0
98,2,4465,2023-01-10,,1
99,2,35091,2024-11-05,,4
100,7,9285,2024-11-18,,2
101,14,1320,2024-07-01,,5
102,20,4434,2023-12-09,,0
103,20,27719,2023-07-07,,3
104,15,34119,2023-01-28,,1
105,20,16796,2022-02-08,,1
106,18,40718,2024-02-18,,4
107,9,36613,2023-11-15,,3
108,18,31998,2023-12-19,,2
109,5,23304,2022-05-17,,3
110,4,17444,2023-04-21,,5
111,6,40395,2023-03-16,,2
112,19,17889,2022-12-06,,2
113,12,10860,2022-05-19,,3
114,5,31095,2024-01-20,,1
115,11,1890,2023-11-18,,5
116,12,4632,2022-08-07,,2
117,9,40783,2023-10-21,,1
118,5,13087,2024-01-29,,3
119,6,36983,2024-12-12,,5
120,4,14489,2023-01-19,,4
121,10,21647,2022-04-24,,1
122,13,16780,2024-03-01,,3
123,8,10671,2022-11-13,,5
124,20,35725,2024-10-23,,0
125,16,23173,2024-10-27,,1
126,5,40386,2022-06-18,,4
127,19,24309,2024-01-11,,1
128,15,14460,2024-11-16,,5
129,17,2574,2024-10-07,,2
130,20,33856,2024-05-16,,1
131,19,35684,2024-10-02,,3
132,8,39,2022-09-15,,4
133,10,18888,2022-05-03,,5
134,14,25731,2023-09-30,,1
135,19,7044,2022-09-12,,5
136,4,10681,2024-07-07,,1
137,2,20344,2024-08-28,,0
138,18,41851,2022-07-28,,4
139,14,29895,2024-01-31,,5
140,6,42525,2023-05-28,,1
141,6,41046,2024-01-01,,1
142,13,15110,2022-02-18,,1
143,3,42302,2024-08-25,,0
144,16,5538,2023-12-02,,5
145,17,12451,2022-05-08,,5
146,17,2438,2024-05-30,,2
147,11,36074,2023-02-23,,1
148,11,17650,2023-01-06,,4
149,3,39481,2024-09-09,,3
150,18,21141,2024-12-06,,3
151,18,13141,2024-07-06,,3
152,6,40080,2022-03-22,,5
153,3,8596,2023-04-16,,2
154,16,18532,2024-03-23,,0
155,17,28767,2024-06-22,,3
156,1,12425,2024-12-24,,0
157,20,40881,2022-10-16,,5
158,15,14107,2024-04-04,,0
159,14,33722,2023-09-08,,2
160,3,43533,2023-06-29,,1
161,9,15043,2024-07-08,,3
162,16,42189,2023-12-11,,0
163,18,1135,2023-04-20,,0
164,3,4536,2024-08-26,,3
165,15,216,2023-08-03,,3
166,18,10225,2022-07-07,,0
167,12,18256,2023-09-28,,0
168,14,3054,2024-07-16,,0
169,13,14043,2022-09-10,,1
170,7,10146,2022-06-06,,0
171,19,14624,2023-05-20,,2
172,2,38573,2022-07-02,,0
173,3,5277,2023-08-03,,0
174,8,20318,2022-04-27,,2
175,20,44009,2023-01-20,,4
176,20,11464,2024-02-19,,5
177,9,42942,2023-02-25,,4
178,20,11800,2022-04-03,,2
179,17,16662,2022-02-27,,1
180,15,1626,2023-03-01,,0
181,2,18840,2024-10-12,,3
182,1,44817,2024-01-20,,0
183,17,25062,2024-04-11,,2
184,12,34828,2022-01-31,,3
185,12,21986,2022-09-16,,0
186,10,2488,2023-11-20,,2
187,10,176,2024-05-15,,1
188,9,6372,2024-01-04,,5
189,19,26470,2022-04-12,,5
190,16,39551,2024-07-14,,5
191,11,38266,2024-05-04,,3
192,15,5146,2024-11-07,,1
193,19,41198,2024-08-27,,1
194,5,22868,2023-07-24,,4
195,9,8843,2023-08-31,,1
196,14,21072,2023-09-02,,5
197,13,6866,2022-07-02,,4
198,9,30845,2023-01-19,,1
199,7,34139,2023-04-25,,2
200,14,32442,2024-06-18,,2
201,11,672,2024-12-02,,3
202,14,29400,2022-07-06,,0
203,6,34009,2024-03-26,,5
204,12,20245,2023-04-30,,2
205,14,33182,2023-04-28,,5
206,3,36815,2023-04-25,,4
207,7,39491,2022-08-03,,5
208,18,12796,2023-11-02,,4
209,11,34484,2024-02-06,,5
210,5,6438,2022-04-21,,0
211,3,1962,2022-07-21,,0
212,4,14725,2022-08-10,,3
213,17,5662,2023-10-02,,3
214,9,25909,2024-11-08,,1
215,6,2672,2023-03-15,,0
216,3,5901,2024-11-20,,5
217,3,15956,2022-09-17,,3
218,10,23959,2024-09-22,,0
219,18,7093,2022-07-11,,3
220,18,23973,2024-10-25,,2
221,9,416,2022-06-17,,2
222,18,28558,2022-12-15,,1
223,2,8992,2023-01-25,,1
224,13,44794,2024-01-07,,1
225,4,5973,2022-09-13,,2
226,8,35282,2022-12-17,,4
227,8,37083,2023-12-15,,1
228,3,37984,2024-05-28,,4
229,19,36369,2024-06-14,,1
230,15,43376,2022-05-16,,4
231,6,2097,2024-03-23,,4
232,1,35169,2022-11-17,,4
233,7,32888,2024-11-08,,5
234,2,37574,2023-07-30,,3
235,20,4510,2022-03-20,,1
236,8,42144,2023-03-03,,2
237,7,29003,2022-03-22,,3
238,8,5578,2022-02-22,,2
239,18,8763,2023-07-05,,4
240,15,24753,2022-01-28,,4
241,7,17207,2023-05-11,,0
242,19,9228,2023-05-24,,3
243,16,35053,2023-03-12,,4
244,13,10334,2022-05-04,,4
245,15,30990,2023-03-10,,4
246,15,8697,2024-08-08,,3
247,14,15894,2023-01-20,,1
248,11,33061,2024-08-02,,4
249,11,40086,2023-05-27,,2
250,12,29617,2023-01-11,,3
251,20,16448,2022-09-24,,1
252,5,15339,2023-01-18,,0
253,2,6686,2024-11-21,,3
254,11,13866,2022-01-20,,3
255,20,44589,2024-06-06,,5
256,8,9737,2024-06-09,,3
257,18,16342,2023-08-02,,0
258,6,43653,2022-12-23,,1
259,11,25958,2024-11-19,,5
260,8,223,2022-11-23,,1
261,6,13309,2023-11-20,,5
262,14,4776,2023-10-21,,4
263,15,41796,2022-03-17,,3
264,6,39318,2024-01-11,,1
265,17,33972,2023-02-19,,3
266,11,24409,2023-01-13,,1
267,9,12328,2023-01-21,,1
268,5,39068,2022-08-05,,4
269,10,7436,2022-12-13,,1
270,12,20437,2024-02-29,,2
271,20,12193,2022-06-15,,5
272,7,28508,2023-11-20,,0
273,4,42055,2022-06-03,,4
274,13,12660,2022-11-30,,0
275,1,14065,2024-08-27,,2
276,8,22119,2023-06-01,,0
277,13,37392,2024-08-03,,5
278,2,17591,2022-03-22,,4
279,19,32644,2023-09-28,,0
280,13,3649,2022-01-11,,4
281,13,2839,2023-12-12,,4
282,11,27356,2022-07-26,,3
283,9,21819,2024-05-01,,3
284,7,41129,2022-05-07,,0
285,1,12322,2024-04-06,,2
286,17,36809,2024-07-26,,2
287,17,25097,2022-12-23,,3
288,7,5370,2024-03-29,,5
289,19,4449,2023-05-26,,3
290,2,14096,2022-12-29,,0
291,1,1423,2022-04-22,,4
292,1,32563,2024-05-04,,5
293,15,38026,2023-09-15,,0
294,4,33823,2022-02-19,,1
295,17,22801,2024-10-13,,5
296,6,35657,2023-07-23,,2
297,19,38399,2023-05-26,,4
298,11,36609,2023-12-27,,4
299,2,20715,2023-10-21,,4
300,15,33883,2023-05-10,,5
301,18,39158,2024-07-15,,3
302,2,5388,2022-09-23,,1
303,15,43999,2022-09-24,,3
304,12,14462,2023-07-10,,2
305,15,967,2023-09-05,,5
306,20,14526,2023-10-14,,4
307,14,22205,2024-09-30,,5
308,5,24235,2022-06-16,,4
309,16,29721,2023-09-01,,2
310,3,23863,2022-11-13,,3
311,6,1719,2024-05-10,,2
312,18,8310,2023-10-23,,5
313,4,41672,2023-06-02,,4
314,17,13261,2024-05-06,,0
315,10,11323,2022-04-20,,5
316,19,44299,2022-12-11,,0
317,3,29587,2023-04-30,,2
318,16,37828,2024-01-30,,4
319,4,18134,2022-12-18,,1
320,16,8105,2023-03-29,,2
321,17,2836,2022-03-08,,0
322,19,13015,2023-12-23,,0
323,1,29318,2022-12-19,,4
324,19,22038,2024-03-28,,4
325,20,27774,2024-06-06,,0
326,11,29396,2023-03-18,,2
327,9,40104,2023-02-04,,5
328,11,41482,2022-09-21,,4
329,14,9761,2024-11-20,,3
330,11,7921,2022-02-16,,5
331,14,16472,2023-03-24,,3
332,2,15459,2024-05-30,,0
333,17,39799,2022-02-02,,2
334,13,11623,2022-07-20,,2
335,7,3178,2022-07-12,,5
336,11,26535,2024-01-08,,0
337,10,13010,2023-05-08,,3
338,11,40741,2022-08-16,,3
339,16,2129,2024-07-16,,1
340,8,36777,2023-12-02,,5
341,15,39860,2024-06-22,,3
342,1,22558,2022-12-29,,3
343,2,7700,2022-02-23,,3
344,16,36405,2024-03-07,,0
345,14,24547,2022-06-26,,4
346,18,14003,2022-05-06,,3
347,20,17796,2024-10-18,,5
348,13,12540,2022-01-07,,0
349,12,20176,2023-07-05,,1
350,13,38583,2023-05-08,,3
351,18,25357,2022-09-05,,5
352,2,24403,2023-01-09,,4
353,14,30388,2023-01-06,,1
354,15,35399,2022-01-03,,1
355,14,2507,2024-12-26,,5
356,16,18344,2024-05-06,,4
357,1,39402,2022-06-02,,4
358,9,17349,2022-10-17,,1
359,3,27520,2023-10-16,,3
360,17,42872,2024-11-27,,5
361,19,36185,2022-08-11,,2
362,9,13817,2024-05-02,,1
363,17,18419,2024-01-02,,5
364,6,14088,2023-10-05,,5
365,4,41310,2023-07-04,,1
366,13,5096,2023-12-29,,5
367,13,28330,2024-06-22,,1
368,1,42537,2022-12-09,,0
369,12,38541,2023-10-27,,2
370,2,7899,2023-07-25,,0
371,17,36899,2023-06-19,,2
372,16,2853,2024-09-08,,2
373,5,20174,2023-03-19,,3
374,20,29468,2023-03-07,,5
375,14,39016,2022-04-16,,1
376,4,38464,2023-09-16,,0
377,10,14373,2022-08-16,,5
378,18,13355,2023-10-19,,5
379,12,41007,2022-04-21,,4
380,18,764,2024-11-22,,3
381,18,36475,2023-11-12,,5
382,4,30831,2023-09-02,,1
383,16,10244,2024-12-17,,3
384,18,44363,2024-04-17,,0
385,16,27826,2024-03-28,,0
386,11,37992,2024-07-21,,5
387,6,43035,2023-10-20,,0
388,10,17908,2022-01-23,,3
389,2,19225,2023-03-26,,3
390,17,29731,2023-02-15,,0
391,5,25764,2022-06-21,,2
392,7,35088,2024-11-30,,0
393,5,40546,2022-02-07,,0
394,10,21241,2024-07-07,,4
395,11,32449,2023-08-25,,4
396,10,13828,2022-06-08,,4
397,14,33908,2022-05-19,,0
398,13,38939,2024-02-09,,1
399,7,5970,2022-10-12,,2
400,5,17052,2023-06-12,,3
401,4,34798,2023-07-31,,4
402,20,17348,2023-09-16,,0
403,11,41824,2024-10-30,,4
404,14,39594,2023-05-01,,1
405,8,9681,2022-10-22,,5
406,20,12717,2022-10-03,,4
407,20,34916,2022-04-25,,5
408,5,27272,2024-05-23,,5
409,19,21963,2022-06-02,,5
410,8,34637,2024-11-05,,4
411,1,20167,2022-06-18,,5
412,13,22477,2022-06-04,,0
413,7,20126,2023-09-09,,3
414,7,36956,2024-11-21,,2
415,20,40515,2023-09-04,,5
416,3,1741,2024-06-08,,2
417,4,15228,2023-11-10,,4
418,11,31372,2022-03-18,,2
419,3,32394,2023-11-18,,0
420,15,39305,2022-06-26,,4
421,9,39101,2024-04-25,,5
422,9,37807,2024-06-07,,2
423,8,17123,2024-06-19,,1
424,4,41049,2024-12-08,,5
425,9,17865,2024-04-06,,1
426,16,24767,2024-01-02,,3
427,16,2139,2023-12-11,,2
428,15,28996,2023-03-30,,1
429,8,33184,2022-07-21,,4
430,4,2986,2022-09-05,,1
431,19,14048,2023-09-02,,2
432,3,32181,2024-05-28,,5
433,2,41963,2023-12-26,,1
434,17,22774,2023-09-15,,2
435,8,24338,2024-10-19,,1
436,4,5905,2022-11-05,,0
437,8,5548,2024-11-06,,5
438,20,20558,2022-06-23,,5
439,14,33580,2024-11-11,,0
440,7,42633,2024-03-02,,5
441,2,29437,2023-05-05,,0
442,16,37220,2023-05-30,,1
443,15,35892,2022-09-15,,3
444,19,32794,2022-08-27,,2
445,5,39966,2023-07-27,,0
446,13,35172,2022-03-07,,0
447,8,7628,2024-03-16,,3
448,15,38531,2023-02-06,,3
449,11,5642,2022-01-28,,2
450,11,28347,2022-08-17,,5
451,4,42370,2023-10-10,,5
452,12,11032,2024-02-09,,5
453,17,41974,2023-03-14,,1
454,14,19389,2023-03-12,,5
455,7,9922,2022-12-26,,1
456,16,40495,2023-12-09,,3
457,2,7844,2022-01-29,,3
458,1,613,2024-02-25,,0
459,19,9791,2023-03-03,,4
460,9,20813,2023-06-01,,5
461,3,20812,2024-10-27,,0
462,17,11836,2022-08-18,,1
463,19,6881,2024-03-10,,0
464,4,31879,2024-08-17,,5
465,2,12500,2022-10-10,,0
466,20,1958,2022-11-15,,0
467,10,38285,2024-10-31,,0
468,17,1789,2023-01-13,,0
469,10,13117,2023-09-21,,3
470,3,34656,2023-04-30,,2
471,16,8342,2023-01-13,,5
472,9,33458,2024-08-07,,4
473,17,1251,2023-04-13,,4
474,13,28911,2024-02-04,,4
475,17,24628,2023-04-04,,0
476,20,24085,2024-08-26,,1
477,9,22845,2024-05-19,,3
478,13,34728,2024-02-03,,0
479,20,40505,2024-10-21,,0
480,9,6539,2023-04-08,,5
481,16,43081,2022-06-10,,1
482,14,35190,2023-12-08,,0
483,18,31428,2022-07-27,,1
484,8,41459,2023-03-17,,0
485,12,24622,2022-04-20,,2
486,18,10982,2023-11-05,,0
487,20,38365,2023-02-28,,1
488,7,15658,2024-05-08,,2
489,11,28264,2024-01-07,,4
490,11,20239,2023-06-29,,1
491,16,26947,2024-07-05,,5
492,9,24561,2023-11-20,,2
493,20,16751,2022-02-21,,1
494,10,44394,2023-08-05,,5
495,13,11496,2023-05-29,,5
496,20,38324,2024-06-18,,5
497,11,6931,2022-12-13,,5
498,14,14950,2023-07-02,,1
499,1,37216,2024-05-26,,1
500,8,14997,2023-05-07,,1
501,12,11619,2023-05-27,,4
502,18,18433,2022-11-06,,1
503,7,21904,2024-05-03,,0
504,6,4955,2024-09-15,,5
505,15,5104,2024-07-10,,3
506,18,25883,2022-03-19,,4
507,1,28966,2022-04-10,,5
508,15,35730,2022-12-17,,3
509,17,42413,2022-10-04,,4
510,12,40332,2024-08-02,,1
511,17,40108,2023-04-14,,2
512,16,18507,2024-06-03,,5
513,3,44830,2024-01-01,,3
514,17,9399,2023-10-09,,5
515,6,24430,2022-06-14,,3
516,2,37480,2023-10-29,,5
517,14,22623,2024-10-09,,1
518,19,10013,2023-07-16,,2
519,7,19064,2023-08-05,,0
520,2,44285,2023-12-05,,3
521,15,14672,2022-06-11,,5
522,13,24489,2024-07-23,,4
523,11,9105,2024-08-18,,3
524,1,31734,2022-06-02,,1
525,18,30474,2024-12-07,,0
526,11,12516,2024-09-23,,2
527,1,33230,2023-01-14,,5
528,7,23020,2023-05-19,,1
529,6,44426,2023-03-29,,2
530,19,3966,2022-09-15,,5
531,18,5253,2022-05-04,,4
532,19,2007,2024-03-17,,2
533,1,17495,2024-04-26,,1
534,17,29408,2024-12-09,,4
535,9,16866,2023-06-04,,3
536,7,18213,2024-01-20,,4
537,4,9929,2023-07-29,,4
538,1,26534,2024-03-17,,5
539,16,9614,2024-09-21,,4
540,15,1640,2024-12-14,,4
541,16,18752,2023-04-19,,2
542,17,44213,2023-11-20,,3
543,7,29353,2023-01-19,,4
544,19,33902,2022-07-15,,0
545,17,31735,2022-02-28,,5
546,10,32283,2022-01-06,,2
547,15,19958,2023-02-09,,2
