MADG,MATK,DIEMDG,THAIDONV,MUCDOHAILONG,BINHLUAN
1,10993,7,4,6,Dịch vụ tốt
2,20964,1,3,4,Dịch vụ tốt
3,14661,9,1,1,Dịch vụ tốt
4,15494,10,9,2,Dịch vụ tốt
5,25928,4,9,10,Dịch vụ tốt
6,18755,4,4,6,Dịch vụ tốt
7,19451,1,1,10,Dịch vụ tốt
8,13407,9,5,10,Dịch vụ tốt
9,20504,6,3,8,Dịch vụ tốt
10,29441,10,10,7,Dịch vụ tốt
11,28703,7,6,1,Dịch vụ tốt
12,8044,2,6,1,Dịch vụ tốt
13,20106,8,6,4,Dịch vụ tốt
14,4824,8,7,5,Dịch vụ tốt
15,12423,6,4,9,Dịch vụ tốt
16,21967,3,4,7,Dịch vụ tốt
17,25815,10,7,1,Dịch vụ tốt
18,19564,10,10,4,Dịch vụ tốt
19,8975,5,7,2,Dịch vụ tốt
20,20383,1,9,2,Dịch vụ tốt
21,18763,2,4,5,Dịch vụ tốt
22,13169,3,5,2,Dịch vụ tốt
23,12981,9,1,8,Dịch vụ tốt
24,6298,5,10,10,Dịch vụ tốt
25,9485,9,4,5,Dịch vụ tốt
26,24090,9,7,3,Dịch vụ tốt
27,18788,4,7,4,Dịch vụ tốt
28,5818,9,9,8,Dịch vụ tốt
29,27500,4,7,9,Dịch vụ tốt
30,9326,3,7,10,Dịch vụ tốt
31,20853,3,7,1,Dịch vụ tốt
32,7956,5,5,5,Dịch vụ tốt
33,5061,4,3,9,Dịch vụ tốt
34,11270,7,5,6,Dịch vụ tốt
35,25298,8,5,7,Dịch vụ tốt
36,8428,10,10,4,Dịch vụ tốt
37,27512,3,7,5,Dịch vụ tốt
38,21989,6,4,8,Dịch vụ tốt
39,5115,5,3,1,Dịch vụ tốt
40,22474,1,6,8,Dịch vụ tốt
41,23799,6,4,5,Dịch vụ tốt
42,22521,2,4,6,Dịch vụ tốt
43,16308,3,7,10,Dịch vụ tốt
44,26455,6,7,7,Dịch vụ tốt
45,14126,9,6,4,Dịch vụ tốt
46,11621,9,9,9,Dịch vụ tốt
47,11683,3,1,8,Dịch vụ tốt
48,16869,9,3,8,Dịch vụ tốt
49,20254,1,1,2,Dịch vụ tốt
50,27371,9,6,7,Dịch vụ tốt
51,6659,4,2,4,Dịch vụ tốt
52,8046,4,2,6,Dịch vụ tốt
53,27822,9,2,2,Dịch vụ tốt
54,25308,6,8,2,Dịch vụ tốt
55,21594,2,8,9,Dịch vụ tốt
56,3836,7,7,4,Dịch vụ tốt
57,14854,3,5,1,Dịch vụ tốt
58,4425,8,5,5,Dịch vụ tốt
59,21270,5,10,4,Dịch vụ tốt
60,27929,2,5,4,Dịch vụ tốt
61,5296,1,6,6,Dịch vụ tốt
62,24160,3,6,4,Dịch vụ tốt
63,23537,6,3,9,Dịch vụ tốt
64,29568,4,9,7,Dịch vụ tốt
65,14527,6,3,3,Dịch vụ tốt
66,16335,1,4,4,Dịch vụ tốt
67,21921,8,2,3,Dịch vụ tốt
68,22455,2,10,1,Dịch vụ tốt
69,26890,2,1,7,Dịch vụ tốt
70,16401,10,9,2,Dịch vụ tốt
71,783,2,10,6,Dịch vụ tốt
72,21229,3,2,6,Dịch vụ tốt
73,27074,5,3,3,Dịch vụ tốt
74,24550,5,5,2,Dịch vụ tốt
75,4004,4,7,8,Dịch vụ tốt
76,17308,1,8,6,Dịch vụ tốt
77,12962,10,10,7,Dịch vụ tốt
78,8766,4,9,8,Dịch vụ tốt
79,20502,4,5,4,Dịch vụ tốt
80,28282,2,4,8,Dịch vụ tốt
81,26008,10,2,10,Dịch vụ tốt
82,13502,9,5,10,Dịch vụ tốt
83,2389,3,1,9,Dịch vụ tốt
84,27166,1,3,2,Dịch vụ tốt
85,7122,3,2,8,Dịch vụ tốt
86,19642,2,5,7,Dịch vụ tốt
87,15004,9,5,9,Dịch vụ tốt
88,29819,1,5,10,Dịch vụ tốt
89,17772,6,6,2,Dịch vụ tốt
90,15515,7,9,6,Dịch vụ tốt
91,23150,3,10,8,Dịch vụ tốt
92,13253,4,5,6,Dịch vụ tốt
93,5117,7,1,7,Dịch vụ tốt
94,20349,10,2,2,Dịch vụ tốt
95,17364,3,10,7,Dịch vụ tốt
96,28572,7,8,7,Dịch vụ tốt
97,25834,1,4,5,Dịch vụ tốt
98,27651,10,10,6,Dịch vụ tốt
99,16960,7,10,9,Dịch vụ tốt
100,27497,3,7,9,Dịch vụ tốt
101,27846,8,1,10,Dịch vụ tốt
102,27775,6,6,1,Dịch vụ tốt
103,29379,8,8,5,Dịch vụ tốt
104,8143,10,2,6,Dịch vụ tốt
105,13698,2,7,1,Dịch vụ tốt
106,27375,8,4,4,Dịch vụ tốt
107,22362,3,9,1,Dịch vụ tốt
108,15813,9,4,2,Dịch vụ tốt
109,18091,9,9,5,Dịch vụ tốt
110,16654,5,1,3,Dịch vụ tốt
111,15785,1,6,7,Dịch vụ tốt
112,13967,8,10,9,Dịch vụ tốt
113,7623,2,5,4,Dịch vụ tốt
114,22748,5,5,7,Dịch vụ tốt
115,16298,5,2,8,Dịch vụ tốt
116,5146,8,8,8,Dịch vụ tốt
117,209,1,5,10,Dịch vụ tốt
118,38,2,4,8,Dịch vụ tốt
119,10282,10,1,8,Dịch vụ tốt
120,26032,10,6,3,Dịch vụ tốt
121,15140,3,10,1,Dịch vụ tốt
122,12071,1,9,8,Dịch vụ tốt
123,16804,3,1,6,Dịch vụ tốt
124,23467,3,2,7,Dịch vụ tốt
125,20221,9,1,8,Dịch vụ tốt
126,19025,9,8,4,Dịch vụ tốt
127,4763,1,2,5,Dịch vụ tốt
128,14568,8,6,9,Dịch vụ tốt
129,27115,6,6,1,Dịch vụ tốt
130,16464,10,4,10,Dịch vụ tốt
131,12961,6,9,7,Dịch vụ tốt
132,22865,4,3,7,Dịch vụ tốt
133,25852,10,7,4,Dịch vụ tốt
134,9533,6,6,2,Dịch vụ tốt
135,12868,9,6,7,Dịch vụ tốt
136,21584,6,6,5,Dịch vụ tốt
137,7530,9,2,8,Dịch vụ tốt
138,17607,4,9,3,Dịch vụ tốt
