MACN,NGAY,DOANHTHU
1,2019-01-01,20000000
1,2019-01-02,50000000
1,2019-01-03,42000000
1,2019-01-04,11000000
1,2019-01-05,8000000
1,2019-01-06,5000000
1,2019-01-07,48000000
1,2019-01-08,35000000
1,2019-01-09,15000000
1,2019-01-10,11000000
1,2019-01-11,11000000
1,2019-01-12,13000000
1,2019-01-13,14000000
1,2019-01-14,16000000
1,2019-01-15,31000000
1,2019-01-16,37000000
1,2019-01-17,26000000
1,2019-01-18,17000000
1,2019-01-19,13000000
1,2019-01-20,42000000
1,2019-01-21,36000000
1,2019-01-22,12000000
1,2019-01-23,46000000
1,2019-01-24,47000000
1,2019-01-25,18000000
1,2019-01-26,25000000
1,2019-01-27,11000000
1,2019-01-28,31000000
1,2019-01-29,41000000
1,2019-01-30,7000000
1,2019-01-31,14000000
1,2019-02-01,37000000
1,2019-02-02,38000000
1,2019-02-03,21000000
1,2019-02-04,22000000
1,2019-02-05,44000000
1,2019-02-06,37000000
1,2019-02-07,34000000
1,2019-02-08,18000000
1,2019-02-09,46000000
1,2019-02-10,45000000
1,2019-02-11,46000000
1,2019-02-12,27000000
1,2019-02-13,43000000
1,2019-02-14,44000000
1,2019-02-15,40000000
1,2019-02-16,42000000
1,2019-02-17,45000000
1,2019-02-18,36000000
1,2019-02-19,17000000
1,2019-02-20,31000000
1,2019-02-21,30000000
1,2019-02-22,46000000
1,2019-02-23,10000000
1,2019-02-24,41000000
1,2019-02-25,20000000
1,2019-02-26,9000000
1,2019-02-27,49000000
1,2019-02-28,50000000
1,2019-03-01,5000000
1,2019-03-02,41000000
1,2019-03-03,33000000
1,2019-03-04,41000000
1,2019-03-05,31000000
1,2019-03-06,37000000
1,2019-03-07,25000000
1,2019-03-08,8000000
1,2019-03-09,19000000
1,2019-03-10,42000000
1,2019-03-11,25000000
1,2019-03-12,30000000
1,2019-03-13,46000000
1,2019-03-14,36000000
1,2019-03-15,11000000
1,2019-03-16,8000000
1,2019-03-17,33000000
1,2019-03-18,36000000
1,2019-03-19,35000000
1,2019-03-20,22000000
1,2019-03-21,40000000
1,2019-03-22,18000000
1,2019-03-23,16000000
1,2019-03-24,44000000
1,2019-03-25,17000000
1,2019-03-26,32000000
1,2019-03-27,25000000
1,2019-03-28,43000000
1,2019-03-29,9000000
1,2019-03-30,30000000
1,2019-03-31,16000000
1,2019-04-01,13000000
1,2019-04-02,46000000
1,2019-04-03,35000000
1,2019-04-04,19000000
1,2019-04-05,24000000
1,2019-04-06,24000000
1,2019-04-07,48000000
1,2019-04-08,40000000
