MAKB,MATC,MABACSI,NGAYHENTAIKHAM
1,33272,36,2025-07-07
2,16962,124,2024-03-13
3,19932,190,2024-12-03
4,11399,124,2024-09-27
5,16546,58,2025-06-02
6,1189,176,2025-08-30
7,17886,105,2025-11-24
8,9678,83,2024-11-24
9,39641,137,2025-12-27
10,3259,128,2024-11-18
11,11612,162,2024-04-25
12,3828,197,2025-08-12
13,15877,129,2025-07-06
14,40521,38,2024-09-26
15,8065,161,2024-09-16
16,17471,123,2025-09-24
17,16786,7,2024-12-03
18,40281,13,2025-08-24
19,9694,151,2025-02-27
20,32464,110,2024-08-11
21,42294,57,2025-07-11
22,3018,187,2024-12-11
23,41187,192,2025-03-27
24,43091,75,2024-08-20
25,35459,95,2024-11-19
26,31148,138,2025-02-25
27,30743,174,2025-09-04
28,12651,180,2024-11-11
29,24670,4,2025-11-01
30,38947,22,2024-11-01
31,6927,88,2024-04-26
32,37935,147,2024-04-09
33,16567,128,2025-06-04
34,44759,97,2025-07-26
35,35695,72,2024-02-26
36,11900,151,2024-05-08
37,8851,137,2024-11-03
38,26184,141,2024-02-16
39,3817,103,2024-12-15
40,38629,1,2024-06-13
41,7376,43,2024-12-13
42,28363,68,2025-07-03
43,26224,200,2024-03-15
44,10367,56,2025-01-27
45,29928,138,2024-07-10
46,11641,11,2024-09-06
47,13722,46,2025-01-06
48,44802,4,2024-11-30
49,43518,153,2024-04-29
50,14754,102,2024-08-20
51,21793,15,2025-11-26
52,44600,129,2024-09-23
53,21547,191,2025-04-15
54,24188,116,2025-02-05
55,25079,154,2025-10-08
56,10498,123,2024-01-13
57,19685,13,2025-03-05
58,36573,168,2025-04-11
59,21046,136,2024-12-24
60,18608,87,2025-04-16
61,18675,138,2024-01-25
62,2463,33,2024-12-11
63,26772,160,2025-05-17
64,3365,123,2024-04-04
65,30973,8,2024-11-16
66,9127,22,2024-03-29
67,5361,165,2024-02-08
68,12540,151,2024-03-25
69,13076,35,2024-12-27
70,25372,142,2025-07-03
71,26445,122,2024-07-25
72,17312,154,2025-08-05
73,11994,17,2025-12-09
74,34487,191,2024-11-20
75,37286,132,2024-06-15
76,40937,6,2025-02-18
77,40382,46,2025-09-16
78,7506,76,2025-01-11
79,42901,33,2024-08-21
80,41916,101,2024-09-28
81,27096,65,2024-06-07
82,10287,40,2024-02-04
83,40151,12,2024-11-24
84,40859,130,2024-08-10
85,31929,14,2024-12-21
86,10553,192,2024-10-14
87,19573,20,2025-05-31
88,30441,127,2024-12-19
89,9357,42,2024-02-11
90,2597,100,2024-05-03
91,812,85,2024-01-28
92,34835,145,2025-06-13
93,6393,184,2025-11-06
94,15117,50,2025-11-25
95,870,23,2024-11-24
96,20231,116,2024-08-12
97,7368,24,2024-11-16
98,29671,44,2024-12-28
99,22902,19,2025-11-21
100,13230,179,2025-04-22
101,43303,150,2025-03-29
102,28115,164,2024-07-13
103,12622,41,2025-02-19
104,36197,24,2024-09-19
105,1930,184,2025-10-19
106,3818,72,2024-09-29
107,29529,75,2025-02-05
108,15715,160,2025-06-15
109,35772,54,2024-04-24
110,17902,117,2024-08-25
111,9665,29,2024-07-20
112,32585,182,2025-09-17
113,13098,186,2024-07-20
114,28060,57,2024-03-30
115,39332,163,2025-08-07
116,382,198,2025-07-15
117,40090,50,2025-09-11
118,12866,60,2025-02-13
119,41810,7,2025-10-03
120,18494,63,2024-10-23
121,34377,62,2025-09-06
122,25672,3,2025-08-12
123,17803,160,2025-05-30
124,5818,134,2024-03-16
