MATC,MATK,TEN,LOAI,GIONG,NGAYSINH,GIOITINH,TINHTRANGSUCKHOE
1,20282,Jane,Mèo,Ta,2022-12-12,Nữ,Khỏe
2,8448,Jane,Chó,Ta,2021-04-23,Nam,Khỏe
3,27110,John,Mèo,Ta,2020-09-02,Nam,Khỏe
4,835,John,Chó,Ta,2023-03-08,Nam,Khỏe
5,23192,John,Chó,Ta,2024-02-12,Nữ,Khỏe
6,5757,John,Mèo,Ta,2023-11-10,Nữ,Khỏe
7,17658,John,Chó,Ta,2022-03-15,Nam,Khỏe
8,6090,Jane,Chó,Ta,2021-01-16,Nam,Khỏe
9,27636,John,Mèo,Ta,2022-12-27,Nam,Khỏe
10,22071,Jane,Mèo,Ta,2021-11-23,Nam,Khỏe
11,8615,John,Mèo,Ta,2022-02-11,Nam,Khỏe
12,20193,Jane,Mèo,Ta,2021-10-22,Nam,Khỏe
13,21647,Jane,Mèo,Ta,2023-07-17,Nữ,Khỏe
14,4229,Jane,Chó,Ta,2022-08-06,Nam,Khỏe
15,12579,Jane,Mèo,Ta,2022-07-31,Nam,Khỏe
16,12905,Jane,Mèo,Ta,2022-04-23,Nam,Khỏe
17,10234,Jane,Chó,Ta,2024-12-12,Nữ,Khỏe
18,3319,John,Mèo,Ta,2024-05-28,Nữ,Khỏe
19,15759,John,Mèo,Ta,2023-06-15,Nam,Khỏe
20,8036,Jane,Chó,Ta,2020-11-25,Nữ,Khỏe
21,19689,John,Mèo,Ta,2020-06-11,Nữ,Khỏe
22,23413,John,Mèo,Ta,2020-06-05,Nam,Khỏe
23,15967,Jane,Mèo,Ta,2023-05-04,Nam,Khỏe
24,25998,John,Chó,Ta,2022-07-11,Nữ,Khỏe
25,1991,Jane,Mèo,Ta,2023-08-05,Nữ,Khỏe
26,26117,John,Chó,Ta,2022-01-17,Nam,Khỏe
27,9612,John,Mèo,Ta,2023-09-16,Nam,Khỏe
28,12686,Jane,Mèo,Ta,2024-03-16,Nữ,Khỏe
29,701,Jane,Chó,Ta,2022-12-30,Nam,Khỏe
30,454,Jane,Mèo,Ta,2022-06-10,Nữ,Khỏe
31,242,Jane,Chó,Ta,2024-04-14,Nữ,Khỏe
32,29735,Jane,Mèo,Ta,2022-07-30,Nữ,Khỏe
33,17424,Jane,Chó,Ta,2022-09-26,Nam,Khỏe
34,26200,Jane,Mèo,Ta,2024-06-04,Nam,Khỏe
35,2806,Jane,Mèo,Ta,2024-05-25,Nam,Khỏe
36,1043,Jane,Chó,Ta,2023-07-12,Nữ,Khỏe
37,13934,Jane,Chó,Ta,2022-04-30,Nam,Khỏe
38,5732,John,Chó,Ta,2020-03-22,Nữ,Khỏe
39,7016,John,Chó,Ta,2022-11-17,Nữ,Khỏe
40,9229,John,Chó,Ta,2020-06-07,Nữ,Khỏe
41,15009,Jane,Chó,Ta,2023-06-25,Nam,Khỏe
42,10108,John,Chó,Ta,2021-07-17,Nữ,Khỏe
43,11618,John,Chó,Ta,2024-03-05,Nữ,Khỏe
44,11229,Jane,Chó,Ta,2020-07-16,Nam,Khỏe
45,842,Jane,Mèo,Ta,2024-03-18,Nam,Khỏe
46,9383,John,Mèo,Ta,2020-04-09,Nam,Khỏe
47,11445,Jane,Mèo,Ta,2022-05-11,Nam,Khỏe
48,1686,John,Chó,Ta,2022-05-13,Nữ,Khỏe
49,6829,John,Mèo,Ta,2023-08-31,Nữ,Khỏe
50,4602,John,Chó,Ta,2022-10-04,Nam,Khỏe
51,10091,Jane,Chó,Ta,2022-04-29,Nam,Khỏe
52,6421,Jane,Chó,Ta,2022-11-30,Nam,Khỏe
53,10008,Jane,Mèo,Ta,2020-01-16,Nữ,Khỏe
54,9389,Jane,Mèo,Ta,2024-11-04,Nữ,Khỏe
55,20136,Jane,Mèo,Ta,2020-10-13,Nữ,Khỏe
56,7441,John,Mèo,Ta,2024-01-31,Nữ,Khỏe
57,2245,John,Mèo,Ta,2021-01-27,Nữ,Khỏe
58,13235,Jane,Chó,Ta,2022-05-01,Nam,Khỏe
59,14947,Jane,Chó,Ta,2021-10-08,Nam,Khỏe
60,7330,John,Chó,Ta,2021-03-16,Nữ,Khỏe
61,16935,John,Chó,Ta,2023-01-19,Nam,Khỏe
62,8164,Jane,Mèo,Ta,2023-11-15,Nam,Khỏe
63,18703,Jane,Chó,Ta,2024-09-08,Nam,Khỏe
64,26638,John,Chó,Ta,2023-12-11,Nữ,Khỏe
65,23184,Jane,Chó,Ta,2023-11-28,Nam,Khỏe
66,6411,Jane,Chó,Ta,2021-04-05,Nữ,Khỏe
67,25734,Jane,Chó,Ta,2023-08-09,Nữ,Khỏe
